FID;objectid;jaartal_registratie;id;typesensor;xcod;ycod;naam;aantalcameras;verantwoordelijke;doelstelling;grondslag;aardvandedata;bewaartermijn;levering_derden;toegang;foto;beveiligingseisen;jaartalingang;datum_einde;lon;lat;geom
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-535d;;;;Slimme verlichting;235567.158;576812.836;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5920899;53.17194467;POINT (235567.15829914017 576812.8356984045)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-535c;;;;Slimme verlichting;235523.867;576770.809;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5914321;53.1715736;POINT (235523.86649914074 576770.8085984035)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-535b;;;;Slimme verlichting;235539.821;576778.299;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59167252;53.1716385;POINT (235539.82119913748 576778.2994984023)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-535a;;;;Slimme verlichting;235552.857;576776.743;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59186705;53.17162256;POINT (235552.8573991392 576776.7429984054)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5359;;;;Slimme verlichting;235481.845;576714.937;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59078986;53.17107795;POINT (235481.8454991394 576714.9366984053)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5358;;;;Slimme verlichting;235495.265;576720.804;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59099196;53.17112865;POINT (235495.26469913882 576720.8041984033)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5357;;;;Slimme verlichting;235509.566;576727.517;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59120746;53.17118681;POINT (235509.56559913978 576727.5167984044)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5356;;;;Slimme verlichting;235524.353;576734.521;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5914303;53.17124752;POINT (235524.3528991378 576734.5213984016)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5355;;;;Slimme verlichting;235495.848;576684.809;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5909917;53.17080518;POINT (235495.84849913808 576684.8087984041)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5354;;;;Slimme verlichting;235509.566;576691.132;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59119837;53.17085993;POINT (235509.5655991399 576691.1322984037)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5353;;;;Slimme verlichting;235523.964;576698.429;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59141546;53.17092332;POINT (235523.96379913756 576698.4286984042)
